업소명,운영상태코드,주소,전화번호,지역
"(주)우방환경","영업중","서울특별시 강남구 일원동 625번지 21호 B-1","",강남구
"(주)제임파트너스","폐업","서울특별시 강남구 삼성동 157번지 10호 유림빌딩 10층","02-568-2380",강남구
"(주)동명엔터프라이즈","영업중","서울특별시 강남구  839번지 11호 동명빌딩 지층 2층","",강남구
"㈜디오컴퍼니","영업중","서울특별시 강남구 논현동 201번지 4호 호텔 더 디자이너스 리즈 강남 프리미어","02-2273-1755",강남구
"(주)남촌개발","폐업","","552-9017",강남구
"동아환경개발(주)","폐업","서울특별시 강남구 일원1동 363번지 13호 지하1층","2216-4534",강남구
"광성개발","영업중","서울특별시 강남구 도곡동 934번지 10호","02-552-8632",강남구
"(주)메인트넌스원","영업중","서울특별시 강남구 역삼2동 788번지 16호 원경빌딩1층","02-557-7070",강남구
"(주)예손","폐업","서울특별시 강남구 청담동 26번지 35호 지층 102호","1599-4333",강남구
"동인안전(주)","폐업","서울특별시 강남구 신사동 514번지 7호","",강남구
"(주)티엔엘넷플러스","영업중","서울특별시 강남구 역삼동 635번지 6호 태리빌딩 3층","",강남구
"(주)아이앤씨엠","폐업","서울특별시 강남구 역삼1동 823번지 42호 그랑프리빌딩 9층","02-537-7900",강남구
"㈜엔마스타","영업중","서울특별시 강남구 개포동 163번지 5호","",강남구
"사회복지법인 위훈용사복지회","영업중","서울특별시 강남구 개포동 1244번지 14호 두리빌딩 2층","02)575-5267",강남구
"더 마이티","영업중","서울특별시 강남구 삼성동 145번지 18호 빌딩엠","02-564-6200",강남구
"(주)에스텍시스템","영업중","서울특별시 강남구 개포동 14번지 4호","02)2142-8327",강남구
"케이엔자산관리(주)","영업중","서울특별시 강남구 수서동 724번지 로즈데일오피스텔 1607호","3411-8817",강남구
"에이치디씨아이서비스(주)","영업중","서울특별시 강남구 삼성1동 160번지 28호 아이파크타워 2","02-2008-8555",강남구
"크린파크","영업중","서울특별시 강남구 역삼동 708번지 30호 송경빌딩","",강남구
"새집연구소","영업중","서울특별시 강남구 개포동 186번지 15호 소망빌딩","",강남구
"(주)천광환경","영업중","서울특별시 강남구 개포동 1230번지 9호","556-0448",강남구
"(주)오뚜기토탈시스템","영업중","서울특별시 강남구 삼성동 116번지 24호","546-9409",강남구
"삼우방역(주)","","서울특별시 강남구 도곡동 458번지 10호","567-9193",강남구
"나라개발시스템(주)","영업중","서울특별시 강남구 도곡동 517번지 2호","02-3461-8687",강남구
"(주)오케이시스템","영업중","서울특별시 강남구 역삼동 776번지 24호 2층","02-3473-2754",강남구
"에스더블유엠 주식회사","영업중","서울특별시 강남구 대치동 943번지 19호","02-539-1147",강남구
"스타클린컴퍼니","영업중","서울특별시 강남구 일원1동 642번지 3호 지하1층","02-451-5128",강남구
"에스티엘(주)","영업중","서울특별시 강남구 대치2동 949번지","2015-0867",강남구
"㈜알트탭컴퍼니","영업중","서울특별시 강남구 삼성동 140번지 39호","",강남구
"더크린","영업중","","",강남구
"노벨리츠","영업중","서울특별시 강남구 대치4동 891번지 44호 노벨빌딩 9층","02-2189-6331",강남구
"허큘리스","영업중","서울특별시 강남구 도곡동 951번지 12호","02-571-7255",강남구
"(주)수영비엠씨","직권폐업","서울특별시 강남구 개포1동 660번지 12호","576-1515",강남구
"리더스리빙","","서울특별시 강남구 삼성동 64번지 1호 지하1층","",강남구
"(주)광성환경방제","영업중","서울특별시 강남구 도곡동 422번지 1호 경보빌딩 지하 102호","02-573-0028",강남구
"(주)미스터이글스","폐업","","02-6245-3399",강남구
"㈜와스알이엠","영업중","서울특별시 강남구 역삼동 718번지 34호","02-825-9511",강남구
"(주)신한씨앤비","영업중","서울특별시 강남구 개포동 1196번지 1호 203호","02-578-4566/7",강남구
"강남지역자활센터 피플크린","영업중","서울특별시 강남구 대치동 78번지 24호 2층","070-4607-3725",강남구
"에이치 디에스 피엔시","폐업","서울특별시 강남구 삼성동 118번지 8호 호일빌딩 201호","818-5777",강남구
"퍼어스","폐업","서울특별시 강남구 개포4동 1218번지 5호 B2호","02-572-7966",강남구
"(주)가화산업관리","영업중","","02)3412-5400",강남구
"티엔에스개발(주)","영업중","서울특별시 강남구 역삼동 642번지 1호","02-3453-8301",강남구
"(주)에이치피앤씨","폐업","서울특별시 강남구 대치1동 967번지 7호","02-553-7895",강남구
"성지알에스알","영업중","서울특별시 강남구 역삼동 603번지 3호","",강남구
"(주)에스텍에이스","영업중","서울특별시 강남구 논현동 105번지","02-2051-2972",강남구
"아름다운 주택관리","영업중","서울특별시 강남구 개포4동 1172번지 11호 101호","02-562-7482",강남구
"(주)나무앤텍","폐업","서울특별시 강남구 역삼2동 729번지 38호  청호빌딩 4층","",강남구
"(주)오케이맨","영업중","","",강남구
"한국위생공사","영업중","서울특별시 강남구 세곡동 375번지 2호","2202-4903",강남구
"강남크린빙","영업중","서울특별시 강남구 일원동 642번지 5호","",강남구
"서진환경","영업중","서울특별시 강남구 역삼동 728번지 3호 B01호","02-508-1665",강남구
"(주)지티엠웍스","폐업","서울특별시 강남구 세곡동 433번지 2호","02-521-8050",강남구
"페이토(주)","영업중","서울특별시 강남구 도곡동 553번지 1호","02-2002-7899",강남구
"(주)케이에스디","폐업","서울특별시 강남구 개포4동 1218-24번지 2-2호","",강남구
"코비","폐업","서울특별시 강남구 논현1동 3번지 15호 평화빌딩 1층","514-5424",강남구
"자활기업 한우리환경","영업중","서울특별시 강남구 개포동 14번지 1호 대청프라자","02-445-1801",강남구
"(주)백산티엠","영업중","서울특별시 강남구 도곡동 517번지 2호","02-571-3454",강남구
"(주)한미기술","영업중","서울특별시 강남구 논현동 238번지 14호","02-548-3888",강남구
"(주)더블유에프텍","영업중","서울특별시 강남구 수서동 734번지","02-418-0012",강남구
"(주)비에프디","직권폐업","서울특별시 강남구 도곡동 84번지 5호 2층 1호","02-2042-7501",강남구
"주식회사 영구크린","폐업","서울특별시 강남구 삼성2동 143번지 37호   301호","02-6925-4909",강남구
"애니크린","영업중","서울특별시 강남구 논현2동 118번지 16호","",강남구
"코비컴퍼니(주)","영업중","서울특별시 강남구 논현동 3번지 15호","02-514-5424",강남구
"(주)빅스톤","영업중","서울특별시 강남구 청담동 87번지 11호","482-5461",강남구
"(주)리더스리빙","영업중","서울특별시 강남구 대치동 942번지 19호","02)517-2470",강남구
"(주)에스코리아","영업중","서울특별시 강남구 역삼2동 707번지 테헤란오피스빌딩 202호","558-7841",강남구
"디더블유개발㈜","폐업","서울특별시 강남구 역삼동 823번지 24호","070-5014-0221",강남구
"(주)엠서비스","영업중","서울특별시 강남구 역삼동 708번지 32호 14층","02-554-5801",강남구
"원방기업(주)","폐업","서울특별시 강남구 대치동 503번지 30통 4반 개포1차우성아파트 5동 301호","02-548-2814",강남구
"(주)미래에이비엠","영업중","서울특별시 강남구 청담동 132번지 19호 정화빌딩 603호","02-547-2975",강남구
"(주)동명엔터프라이즈","영업중","서울특별시 강남구 역삼동 831번지 11호","2188-8761",강남구
"(주)지에스비","폐업","서울특별시 강남구 역삼동 639번지 16호 1통 3반 301호","1644-7030",강남구
"(주)석촌에스지","","서울특별시 강남구 대치4동 895번지 9호 경성빌딩 3층","02-563-0075",강남구
"동인안전(주)","영업중","","02)3443-3161",강남구
"제이그린","폐업","서울특별시 강남구 대치4동 900번지 56호 301호","5678307",강남구
"(주)산웅개발","영업중","서울특별시 강남구 삼성1동 163번지 3호","02-550-8377",강남구
"㈜더퍼스트이앤씨","영업중","서울특별시 강남구 청담동 1번지 2호 청담퍼스트타워","02-3443-8887",강남구
"(주)베스트키퍼스","영업중","서울특별시 강남구 논현동 81번지 8호","02-3448-2313",강남구
"(주)관우개발","영업중","서울특별시 강남구 대치동 966번지 4호","",강남구
"(주)동우유니온","영업중","서울특별시 강남구 신사동 600번지 5호","",강남구
"(주)신진에프엠","영업중","서울특별시 강남구 개포동 1183번지 15호","",강남구
"","신규","서울특별시 강남구 삼성동 109번지 5호","",강남구
"미래환경","영업중","서울특별시 강남구 개포동 1204번지 3호","",강남구
"해송기업","폐업","서울특별시 강남구 역삼1동 708번지 20호 금정빌딩 907호","1577-7453",강남구
"해송기업","폐업","서울특별시 강남구 청담동 19번지 23호 36통 3반 101호","34044161",강남구
"강남클린방역","영업중","서울특별시 강남구 개포동 1188번지 5호 지층","02-2226-0339",강남구
"태성BMC","폐업","서울특별시 강남구 압구정1동 415번지 미성상가 412호","",강남구
"(주)천우P&G","폐업","서울특별시 강남구 역삼1동 699-10 지하101호","494-9846",강남구
"(주)초록도시","폐업","서울특별시 강남구 도곡1동 942번지 11호 오성빌딩 2층","",강남구
"(주) 거화시스템","폐업","서울특별시 강남구 삼성2동 38번지 29호 한어빌딩 302호","",강남구
"(주)세루넷코리아","폐업","서울특별시 강남구 역삼1동 707번지 38호 테헤란오피스 빌딩 202 203호","2558-7841",강남구
"(주)다림엔지니어링","폐업","서울특별시 강남구 신사동 666번지 4호 6층","2088-5062",강남구
"(주)월드와이드써비스코리아","폐업","서울특별시 강남구 대치동 947번지 7호 삼탄빌딩 지하1층","555-8001",강남구
"(주)월드와이드써비스코리아","영업중","서울특별시 강남구 대치동 947번지 7호 삼탄빌딩 지하1층","555-8001",강남구
"(주)원일개발","영업중","서울특별시 강남구 논현동 209번지 9호","",강남구
"㈜가치에스엔티","폐업","서울특별시 강남구 논현동 5번지 10호 301호","02-546-6753",강남구
"(주)클린씨","영업중","서울특별시 강남구 개포동 1216번지","02-575-1844",강남구
"센트온 서울지점","영업중","서울특별시 강남구 역삼동 834번지 67호","02-588-0252",강남구
"스파이더 컴퍼니","폐업","서울특별시 강남구 역삼동 607번지 2호 페이시스빌딩","",강남구
"㈜신화미화시스템","영업중","서울특별시 강남구 삼성동 79번지 홍실아파트","02-2065-9091",강남구
"스마트방역","영업중","","",강남구
"터미닉스코리아(주)","영업중","서울특별시 강남구 역삼동 789번지 2호","553-5200",강남구
"(주)해솔네트웍스","영업중","서울특별시 강남구 역삼동 770번지 11호 세명빌딩","02)3471-6003",강남구
"(주)그린채트","영업중","","",강남구
"아이토스","영업중","서울특별시 강남구 개포동 1223번지 1호","",강남구
"대광시스템","폐업","서울특별시 강남구 개포4동 1186번지 2호","",강남구
"진산환경개발","영업중","서울특별시 강남구 삼성동 109번지 7호","02-538-3938",강남구
"효성에프엠씨(주)","직권폐업","서울특별시 강남구 대치4동 890번지 32호 현민타워 2층","552-0062",강남구
"(주)엑스뻬제","영업중","서울특별시 강남구 역삼동 701번지 1호 역삼 아르누보씨티","031-711-5228",강남구
"바이오 시큐리티","영업중","서울특별시 강남구 역삼동 708번지 동우빌딩","",강남구
"㈜메가젠임플란트","영업중","서울특별시 강남구 논현동 268번지 15호 삼공빌딩","",강남구
"푸른크린","영업중","서울특별시 강남구 개포동 1181번지 9호","",강남구
"주식회사 에이디티캡스","영업중","서울특별시 강남구 삼성동 108번지 9호 ADT캡스 제1빌딩","02-6310-4480",강남구
"에스디랩코리아(주)","영업중","서울특별시 강남구 신사동 590번지 16호","02-515-9789",강남구
"주식회사 가온에이치알","직권폐업","서울특별시 강남구 역삼동 697번지 54호 508호","02-558-1535",강남구
"주식회사 크린올","영업중","서울특별시 강남구 논현동 241번지 3호 에스케이 허브블루","1811-9311",강남구
"주식회사 플랫포머스","영업중","서울특별시 강남구 역삼동 720번지 19호 삼봉빌딩","02-2188-6846",강남구
"㈜새담","영업중","서울특별시 강남구 역삼동 809번지 비제바노","02-6953-8152",강남구
"YK","영업중","서울특별시 강남구 역삼동 742번지 17호","",강남구
"주식회사 엠비에스파트너스","영업중","서울특별시 강남구 역삼동 826번지 36호 신소애빌딩","02-740-3951",강남구
"㈜팀설악","영업중","서울특별시 강남구 역삼동 704번지 47호","02-6426-0112",강남구
"시큐어메인티넌스","영업중","","",강남구
"관촌실업㈜","영업중","서울특별시 강남구 일원동 624번지 3호 청정빌딩","",강남구
"아토즈방역","영업중","서울특별시 강남구 대치동 896번지 27호","",강남구
"㈜씨비엔지","영업중","","02-2135-1330",강남구
"오늘도 맑음","영업중","서울특별시 강남구 논현동 122-8 동화상가","",강남구
"주식회사 맥서브(Maxerve.Co.Ltd.)","영업중","서울특별시 강남구 대치동 944번지 30호 10층","02-2015-0867",강남구
"(주)장충크린환경","영업중","","02-2236-2203",강남구
"라이프테크","영업중","서울특별시 강남구 역삼동 749번지 22호","1877-8790",강남구
"자연과방제","영업중","서울특별시 강남구 역삼동 828-22","",강남구
"㈜올바른환경","영업중","서울특별시 강남구 삼성동 116-15 201호","",강남구
"(주)대청씨앤에스","영업중","서울특별시 강남구 일원동 711번지 1호 수서1단지아파트 상가","3412-6336",강남구
"에이비프로 주식회사","영업중","서울특별시 광진구 광장동 219번지 44호","070-8627-7685",광진구
"경수기업사","영업중","서울특별시 광진구 중곡동 199번지 1호 2층","419-8119",광진구
"선우개발","영업중","서울특별시 광진구 구의동 225-67","02-6307-5442",광진구
"(주)파라다이스환경","영업중","서울특별시 광진구 자양동 203번지 12호 (지층)","",광진구
"(주)제일크린","영업중","서울특별시 광진구 자양동 634번지 36호 2층","3437-1683",광진구
"풀잎환경","영업중","서울특별시 광진구 중곡동 631번지 1호","02-434-5355",광진구
"(주)내이드디앤씨","영업중","","02-462-6280",광진구
"(주)씨토스템","영업중","","024645776",광진구
"힐스(HEALS)","영업중","서울특별시 광진구 자양동 672번지 17호","2201-3110",광진구
"호성안전(주)","영업중","서울특별시 광진구 자양동 652번지 3호","796-9490",광진구
"서울광진지역자활센터","영업중","서울특별시 광진구 자양동 772번지 17호","02-499-8373",광진구
"(주)한국경비","폐업","서울특별시 광진구 자양동 553번지 20호 자양빌딩 3층","02-733-4761",광진구
"주식회사 케이케어","직권폐업","서울특별시 광진구 광장동 331번지 3호 4층","1661-7731",광진구
"태진자산관리(주)","영업중","서울특별시 광진구 구의동 218번지 6호 지층","458-7517",광진구
"(주)클린클리닉","영업중","서울특별시 광진구 자양동 24번지 11호","02-804-7200",광진구
"주식회사 에스탑","영업중","서울특별시 광진구 구의동 546번지 4호 테크노-마트21","02-2111-1272~3",광진구
"자바드림","영업중","서울특별시 광진구 구의동 596번지 1호","",광진구
"만국환경","영업중","서울특별시 광진구 중곡동 197번지 4호 1층","",광진구
"(주)진도프로인","영업중","","02-439-5526",광진구
"(주)초록우산 하우스크리닝","영업중","","1688-0133",광진구
"그린환경","영업중","서울특별시 광진구 중곡동 190번지 27호","",광진구
"주식회사 좋은이웃닷컴","영업중","서울특별시 광진구 자양동 586번지 22호 3층","",광진구
"럭키시스템(주)","영업중","서울특별시 광진구 구의동 246번지 14호 크레신타워3차 11층 1116호","461-2201",광진구
"참좋은환경","영업중","","",광진구
"정립장애인보호작업장","영업중","","02- 454- 5505",광진구
"한국환경정화(주)","영업중","서울특별시 광진구 구의동 242번지 8호","3437-6595",광진구
"유토피아","폐업","서울특별시 광진구 중곡동 230번지 13호 1층","02-491-5806",광진구
"(주)제이디원","폐업","서울특별시 광진구 자양동 222번지 7호 3층","453-6300",광진구
"장수종합관리","영업중","서울특별시 광진구 군자동 159번지 4호","",광진구
"서울방역공사","폐업","서울특별시 광진구 능동 246번지 5호 두성빌딩","02-452-2511",광진구
"주식회사 청소중대장","영업중","","02-1566-6415",광진구
"(주)에이블에스","폐업","","070-4272-8201",광진구
"(주)올크린토탈서비스","영업중","서울특별시 광진구 자양동 246번지 139호 지하1층","02-468-2317",광진구
"(주)시에스씨","영업중","","02-453-7222",광진구
"(주)예스코서비스광진점","폐업","서울특별시 광진구 자양동 794번지 9호 1층","3390-3001",광진구
"(주)휴먼텍서비스","영업중","서울특별시 광진구 자양동 606번지 38호","070-8888-9511",광진구
"버그킬","영업중","서울특별시 광진구 군자동 228번지","",광진구
"크린방역","영업중","","",광진구
"크린대장","영업중","","1899-2979",광진구
"(주)더블루피엠씨","영업중","","024444600",광진구
"미소방역","폐업","서울특별시 광진구 광장동 258번지 19호","02-432-4792",광진구
"성지토탈서비스(주)","영업중","서울특별시 광진구 자양1동 610번지 3호","",광진구
"대성환경","영업중","서울특별시 광진구 중곡동 118번지 34호 1층","479-3664",광진구
"(주)림피오","폐업","서울특별시 광진구 중곡동 340번지 33호","02-444-7477",광진구
"(주)휴먼에코랩","영업중","서울특별시 광진구 구의동 546번지 4호 테크노-마트21 19동 1호","1599-2582",광진구
"자연주의","폐업","","454-5045",광진구
"서울방역공사","폐업","서울특별시 광진구 능동 247번지 16호 삼화빌딩 305호","452-2511",광진구
"에프파이브(F5) 성동점","폐업","서울특별시 광진구 자양동 683번지 8호 101호","",광진구
"타임투크린","영업중","","02-518-8253",광진구
"전국청소협동조합","영업중","","02-939-7777",광진구
"에스이엠서비스(주)","영업중","서울특별시 광진구 구의동 546번지 4호 테크노-마트21 사무동 18층 11호","02-3424-5831",광진구
"(주)크린매직","영업중","","02-434-8800",광진구
"(주)서울방역공사","영업중","","024522511",광진구
"(주)휴인서비스","영업중","서울특별시 광진구 광장동 145번지 8호 한수상가 1층 2호 28호 32호","",광진구
"대한민국재향군인회","영업중","서울특별시 광진구 자양동 680번지 24호 태림빌딩","417-1022",광진구
"(주)지케이티 글로벌","영업중","","02-452-1576",광진구
"세이브 프롬 코로나","영업중","","",광진구
"대한크린방역","영업중","","",광진구
"(주)세스코 서울동남지사","영업중","서울특별시 광진구 구의동 593번지 15호 성진프라자 7층","02-3437-8640",광진구
"주식회사 현운서비스","영업중","서울특별시 광진구 중곡동 647-18","02-499-8440",광진구
"베테랑 크린하우스","영업중","서울특별시 광진구 중곡동 74번지 74호 102호","1661-7517",광진구
"(주)유쓰컴퍼니","영업중","서울특별시 광진구 구의동 252번지 14호 성지하이츠 1005호","070-8286-1556",광진구
"(주)명우종합관리","폐업","","757-9737",광진구
"천연살균의학처 서울지사","영업중","서울특별시 광진구 구의동 204-8","",광진구
"라인크린","영업중","서울특별시 광진구 중곡동 113-3","1670-1129",광진구
"(주)홈피스","영업중","서울특별시 광진구 자양동 685번지 2호","1666-9577",광진구
"(주)태왕사이언스","영업중","서울특별시 구로구 구로3동 197번지 10호 이앤씨벤쳐드림타워2차 3층 307호","",구로구
"(주)프라임서비스","영업중","서울특별시 구로구 구로동 104번지 10호 동남오피스텔 1104호","2060-2290",구로구
"지피씨엔에스(주)","영업중","서울특별시 구로구 구로4동 317번지 93호 별관2층","02-2601-3399",구로구
"대성산업씨엔에스(주)","폐업","서울특별시 구로구 구로1동 685번지 140호 사모아상가 404호","3281-5421",구로구
"그린행복주식회사","영업중","서울특별시 구로구 구로동 94번지 8호","02-877-9452",구로구
"(주)동근에프엠","영업중","서울특별시 구로구 오류1동 81번지 53호","2615-9488",구로구
"흥산","영업중","서울특별시 구로구 궁동 98번지 3호","2625-7591",구로구
"온누리방역시스템","영업중","서울특별시 구로구 오류1동 142번지 26호","2682-1818",구로구
"에이스방역","영업중","서울특별시 구로구 구로본동 607번지 1호 우성빌딩 A동407호","671-3013",구로구
"포스","영업중","서울특별시 구로구 개봉3동 368번지 1호 (지층)","6345-2188",구로구
"청우씨에스","영업중","서울특별시 구로구 오류1동 11번지 26호","2689-6809",구로구
"한신공무","폐업","서울특별시 구로구 구로동 112번지 45호","",구로구
"(주)세광이십일","영업중","서울특별시 구로구 고척동 134번지 42호","",구로구
"가우스방역","영업중","경기도 부천시원미구 심곡동 325번지 37호 8통 5반","",구로구
"(주)아스타아이비에스","영업중","서울특별시 구로구 구로동 106번지 4호","",구로구
"(주)세보관리","영업중","서울특별시 구로구 오류1동 338번지 3필지 동부골든A상가 제지층 B08호","02-830-5878",구로구
"마이크로맥스","영업중","서울특별시 구로구 구로동 609번지 1호 한성상가 415호","070-8676-7737",구로구
"(주)갑진","영업중","서울특별시 구로구 고척동 326번지 청구아파트상가 202호","2612-0908",구로구
"(주)크린환경케이제이","영업중","서울특별시 구로구 고척동 161번지 73호 3층","2207-4521",구로구
"한국방역공사","영업중","서울특별시 구로구 구로동 104번지 1호 동원빌딩 105호","",구로구
"(주)유진엔지니어링","폐업","서울특별시 구로구 오류2동 135번지 1호 2층","02-2681-0855",구로구
"대성물류건설(주)","영업중","서울특별시 구로구 구로동 108번지 현대파크빌 406호 408호","02-2211-0940",구로구
"(주)프라임시티","영업중","서울특별시 구로구 구로동 108번지 2호 새솔금호아파트 지층 18호","02-2026-0284",구로구
"에코메이트","영업중","서울특별시 구로구 개봉동 105번지 20호 조은빌딩 302호","",구로구
"게스(GESS)","영업중","서울특별시 구로구 고척동 103번지 4호","",구로구
"(주)삼오종합관리","폐업","서울특별시 구로구 구로동 1128번지 4호 H.K TOWER 904호","02-835-3525",구로구
"(주)휴먼피엠씨","폐업","서울특별시 구로구 구로4동 98번지 대림오페라타워 605호","02-2060-1784",구로구
"선린CS","영업중","서울특별시 구로구 구로동 107번지 8호","",구로구
"해충마스터","영업중","서울특별시 구로구 개봉동 36번지 2호","1800-3055",구로구
"한국지엔씨(주)","영업중","서울특별시 구로구 구로동 1124번지 42호","",구로구
"고엽방제시스템","폐업","서울특별시 구로구 구로2동 636번지 62호 구로유통상가 A동 413호","2633-5111",구로구
"(주)다보산업관리","영업중","서울특별시 구로구 오류1동 54번지 5호  화인빌딩 602호","869-6465",구로구
"(주)두잉씨앤에스","폐업","서울특별시 구로구 구로3동 1127번지 31호 대성빌딩 405호","070-7123-3605",구로구
"보승기업","폐업","서울특별시 구로구 구로4동 98번지 대림오페라타워 B104호","",구로구
"(주)아이에스포유","폐업","서울특별시 구로구 구로5동 100번지 6호 구미빌딩 3층","857-3008",구로구
"구일환경(주)","폐업","서울특별시 구로구 구로2동 609번지 1호 구로한성상가 B동 302호","",구로구
"(주)두원에이엔씨","폐업","서울특별시 구로구 구로5동 530번지 23호","",구로구
"(주)효명종합관리","영업중","서울특별시 구로구 구로1동 685번지 456호","",구로구
"사회복지법인 애국단체원","폐업","서울특별시 구로구 구로5동 108번지 현대파크빌 802호","02-2109-1177",구로구
"(주)일오삼이엔지","영업중","서울특별시 구로구 고척1동 134번지 42호","2612-6602",구로구
"사단법인 모아나눔","폐업","서울특별시 구로구 구로4동 98번지 5호","070-8233-3048",구로구
"국제클린방역","폐업","서울특별시 구로구 가리봉동 1번지 8호","",구로구
"(주)대영이엠에스","폐업","서울특별시 구로구 구로5동 49번지 101 3호","02-3789-3932",구로구
"한청위생환경","폐업","서울특별시 구로구 구로4동 748번지 16호","02-858-9222",구로구
"크린포유","폐업","서울특별시 구로구 구로5동 43번지 10호 명지빌딩 303호","02-838-2662",구로구
"명우그린해충방제","폐업","서울특별시 구로구 구로3동 1256번지 현대아파트상가 103호","",구로구
"(주)창우디에스피","폐업","서울특별시 구로구 구로5동 104번지 1호","02-582-7101",구로구
"사회복지법인에덴복지재단","폐업","서울특별시 구로구 오류2동 109번지 1호 재도빌딩 310","02-2611-1711",구로구
"나사산업안전(주)","폐업","서울특별시 구로구 구로3동 197번지 33호 이앤씨벤쳐드림타워3차 905호","828-3945",구로구
"(주)와이브이시스템","영업중","서울특별시 구로구 오류동 340번지 삼천리상가 208호","2685-1536",구로구
"다온환경해충시스템","영업중","서울특별시 구로구 구로3동 1256번지 구로현대아파트 상가 1층 103호","",구로구
"명서비스 주식회사","영업중","서울특별시 구로구 고척1동 134번지 33호 새마을금고분소빌딩 303호","",구로구
"상쾌한 청소","폐업","서울특별시 구로구 개봉3동 403번지 198호 1층","3666-3312",구로구
"파인환경","영업중","서울특별시 구로구 개봉3동 312번지 38호 길훈아파트 상가 1층","",구로구
"구로구립장애인보호작업장","영업중","서울특별시 구로구 온수동 44번지 21호 지하","",구로구
